,Rank,Name,Name.1,Nation,Points,898,897,890,887,903,879,876,878,2006,event,gender,athlete_id
0,1,Vaitsekhovskii,Evgenii,RUS,585.00,,8. 40.00,1. 100.00,1. 100.00,2. 80.00,1. 100.00,1. 100.00,3. 65.00,2006,speed,MEN,6132
1,2,Sinitcyn,Sergei,RUS,515.00,2. 80.00,1. 100.00,,,1. 100.00,4. 55.00,2. 80.00,1. 100.00,2006,speed,MEN,5141
2,3,Peshekhonov,Alexander,RUS,424.00,8. 40.00,5. 51.00,7. 43.00,11. (31.00),3. 65.00,2. 80.00,3. 65.00,2. 80.00,2006,speed,MEN,5464
3,4,Escobar,Manuel,VEN,312.00,1. 100.00,9. 37.00,5. 51.00,9. 37.00,6. 47.00,8. 40.00,,,2006,speed,MEN,3235
4,5,Oleksy,Tomasz,POL,264.00,10. 34.00,7. 43.00,,,4. 55.00,7. 43.00,4. 55.00,10. 34.00,2006,speed,MEN,906
5,6,Kosterin,Alexander,RUS,235.00,,,12. 28.00,6. 47.00,8. 40.00,3. 65.00,,4. 55.00,2006,speed,MEN,5293
6,7,Carvajal,Nestor,VEN,187.00,15. 22.00,10. 34.00,6. 47.00,15. 22.00,11. 31.00,11. 31.00,,,2006,speed,MEN,3648
7,8,Komondi,Csaba,HUN,185.00,,,8. 40.00,7. 43.00,,12. 28.00,7. 43.00,11. 31.00,2006,speed,MEN,135
8,9,Hroza,Libor,CZE,177.00,,,,,5. 51.00,5. 51.00,6. 47.00,12. 28.00,2006,speed,MEN,5651
9,10,Rozak,Erianto,INA,160.00,,,2. 80.00,2. 80.00,,,,,2006,speed,MEN,7948
10,11,Lai,Chi-Wai,HKG,114.00,,13. 26.00,9. 37.00,5. 51.00,,,,,2006,speed,MEN,5005
11,12,Chapelle,Sylvain,FRA,110.00,13. 26.00,,,,,6. 47.00,9. 37.00,,2006,speed,MEN,3065
12,13,Muhd,Zaki bin Ramli,SGP,99.00,,,3. 65.00,10. 34.00,,,,,2006,speed,MEN,5956
13,14,Wahid,Syafiq Utama Abdul,SGP,95.00,,,4. 55.00,8. 40.00,,,,,2006,speed,MEN,7430
14,15,Skripov,Anatoly,RUS,94.00,7. 43.00,,,,,,,5. 51.00,2006,speed,MEN,5852
15,16,De Las Salas,Leonel,VEN,87.00,,,21. 10.00,14. 24.00,9. 37.00,18. 16.00,,,2006,speed,MEN,5275
16,17,Ma,Hetai,CHN,80.00,,2. 80.00,,,,,,,2006,speed,MEN,5940
17,18,Kaurov,Ivan,RUS,78.00,18. 16.00,12. 28.00,,,,10. 34.00,,,2006,speed,MEN,5137
18,19,Sharafutdinov,Dmitrii,RUS,77.00,9. 37.00,,,,,,,8. 40.00,2006,speed,MEN,5781
19,20,Asmoro,Galar Pandu,INA,65.00,,,,3. 65.00,,,,,2006,speed,MEN,7949
20,20,Baumann,Jonas,GER,65.00,19. 14.00,,,,,,5. 51.00,,2006,speed,MEN,5206
21,20,Chen,Xiaojie,CHN,65.00,,3. 65.00,,,,,,,2006,speed,MEN,5758
22,20,Salimov,Oleksandr,UKR,65.00,3. 65.00,,,,,,,,2006,speed,MEN,5291
23,20,Swirk,Lukasz,POL,65.00,,15. 22.00,,,7. 43.00,,,,2006,speed,MEN,8200
24,25,Svacha,Jiri,CZE,60.00,,,,,10. 34.00,,13. 26.00,,2006,speed,MEN,6306
25,26,Amann,Mark,AUT,57.00,,,,,,13. 26.00,11. 31.00,,2006,speed,MEN,5228
26,27,Chen,Fengle,CHN,55.00,,4. 55.00,,,,,,,2006,speed,MEN,7995
27,27,Ismagilov,Eduard,RUS,55.00,4. 55.00,,,,,,,,2006,speed,MEN,7246
28,27,Yulianto,Abudzar,INA,55.00,,,,4. 55.00,,,,,2006,speed,MEN,7950
29,30,Fernandez,Gary Leon,SGP,52.00,,,14. 24.00,12. 28.00,,,,,2006,speed,MEN,6596
30,31,Sadyrov,Marat,RUS,51.00,5. 51.00,,,,,,,,2006,speed,MEN,2613
31,32,Mohd Yusoff,Muhammad Ridzuan,SGP,50.00,,,10. 34.00,18. 16.00,,,,,2006,speed,MEN,7315
32,32,Poberezhets,Serhiy,UKR,50.00,,,,,,,10. 34.00,18. 16.00,2006,speed,MEN,6720
33,34,Lakhin,Oleksandr,UKR,47.00,,,,,,,,6. 47.00,2006,speed,MEN,3237
34,34,Vorobyev,Valeriy,RUS,47.00,6. 47.00,,,,,,,,2006,speed,MEN,6944
35,34,Ye,Xiangyang,CHN,47.00,,6. 47.00,,,,,,,2006,speed,MEN,6397
36,37,Styenkovyy,Maksym,UKR,43.00,,,,,,,,7. 43.00,2006,speed,MEN,2586
37,38,Masdari,Zakariaya,MAS,40.00,,,16. 20.00,16. 20.00,,,,,2006,speed,MEN,5974
38,38,Merz,Aric,GER,40.00,,,,,,,8. 40.00,,2006,speed,MEN,2396
39,38,REINOSO NARANJO,Hernan Agustin,ECU,40.00,,,,,13. 26.00,19. 14.00,,,2006,speed,MEN,7815
40,41,Mawem,Bassa,FRA,37.00,,,,,,9. 37.00,,,2006,speed,MEN,6
41,41,Petkov,Mincho,BUL,37.00,,,,,,,,9. 37.00,2006,speed,MEN,2536
42,43,Bokhari,Hafzanizam,MAS,31.00,,,11. 31.00,,,,,,2006,speed,MEN,5459
43,43,Kozlov,Vasily,RUS,31.00,11. 31.00,,,,,,,,2006,speed,MEN,5138
44,43,Lu,Xiaolong,CHN,31.00,,11. 31.00,,,,,,,2006,speed,MEN,7883
45,46,Jaafar,Mohd Tarmizi,MAS,28.00,,,17. 18.00,21. 10.00,,,,,2006,speed,MEN,7856
46,46,Kursin,Vasilii,RUS,28.00,12. 28.00,,,,,,,,2006,speed,MEN,8073
47,46,Lau,Johannes,GER,28.00,,,,,,,12. 28.00,,2006,speed,MEN,2413
48,46,Olivares,Rafael,VEN,28.00,,,,,12. 28.00,,,,2006,speed,MEN,3700
49,50,Abu Hassan,Khairul Hafiz,MAS,26.00,,,13. 26.00,,,,,,2006,speed,MEN,5936
50,50,Hafnizam,Bakhori,MAS,26.00,,,,13. 26.00,,,,,2006,speed,MEN,5017
51,50,Shyshkovskyy,Ivan,UKR,26.00,,,,,,,,13. 26.00,2006,speed,MEN,3256
52,53,Januel,Nicolas,FRA,24.00,,,,,,14. 24.00,,,2006,speed,MEN,3176
53,53,Lazarov,Blagovest,BUL,24.00,,,,,,,,14. 24.00,2006,speed,MEN,6656
54,53,Portsev,Aleksei,RUS,24.00,14. 24.00,,,,,,,,2006,speed,MEN,6939
55,53,Zhong,QiXin,CHN,24.00,,14. 24.00,,,,,,,2006,speed,MEN,7994
56,57,Osipov,Maksym,UKR,22.00,,,,,,,,15. 22.00,2006,speed,MEN,6950
57,57,Svub,Matej,SVK,22.00,,,,,,15. 22.00,,,2006,speed,MEN,6497
58,57,Yusof,Mohd Hamizan,MAS,22.00,,,15. 22.00,,,,,,2006,speed,MEN,7975
59,60,Khopko,Alexander,RUS,20.00,16. 20.00,,,,,,,,2006,speed,MEN,5605
60,60,Pouvreau,G̩rome,FRA,20.00,,,,,,16. 20.00,,,2006,speed,MEN,2833
61,60,Tyapkin,Igor,UKR,20.00,,,,,,,,16. 20.00,2006,speed,MEN,7280
62,63,Irit,Susanto,INA,18.00,,,,17. 18.00,,,,,2006,speed,MEN,7951
63,63,Preti,Lucas,ITA,18.00,,,,,,17. 18.00,,,2006,speed,MEN,2606
64,63,Shmatko,Stanislav,RUS,18.00,17. 18.00,,,,,,,,2006,speed,MEN,8070
65,63,Zarchev,Metodi,BUL,18.00,,,,,,,,17. 18.00,2006,speed,MEN,6317
66,67,Adnan,Mohd Fiaz,MAS,16.00,,,18. 16.00,,,,,,2006,speed,MEN,7990
67,68,Ariff Fazilan,Zul Hilmi,MAS,14.00,,,19. 14.00,,,,,,2006,speed,MEN,7977
68,68,Gelmanov,Rustam,RUS,14.00,,,,,,,,19. 14.00,2006,speed,MEN,6933
69,68,Muhamad,Uzair,SGP,14.00,,,,19. 14.00,,,,,2006,speed,MEN,5759
70,71,Chernikov,Mikhail,RUS,12.00,20. 12.00,,,,,,,,2006,speed,MEN,6935
71,71,Hakim,Wan Lukman,MAS,12.00,,,20. 12.00,,,,,,2006,speed,MEN,7976
72,71,Ron,Ho,SGP,12.00,,,,20. 12.00,,,,,2006,speed,MEN,5610
73,74,Stepanov,Alexander,RUS,10.00,21. 10.00,,,,,,,,2006,speed,MEN,6490
74,75,Poplavskiy,Stanislav,RUS,9.00,22. 9.00,,,,,,,,2006,speed,MEN,2631
75,76,Zemski,Alexei,RUS,8.00,23. 8.00,,,,,,,,2006,speed,MEN,2575
76,77,Portsev,Dmitriy,RUS,7.00,24. 7.00,,,,,,,,2006,speed,MEN,6115
