,Rank,Name,Name.1,Nation,Points,WC Kranj 14.11.2009,WC Brno 06.11.2009,WC Puurs 25.09.2009,WC Imst 21.08.2009,WC Barcelona 08.08.2009,WC Chamonix 12.07.2009,2009,event,gender
0,1,Ondra,Adam,CZE,451.00,1. 100.00,11. (31.00),1. 100.00,1. 100.00,1. 100.00,5. 51.00,2009,lead,MEN
1,2,Usobiaga Lakunza,Patxi,ESP,391.00,6. (47.00),2. 80.00,2. 80.00,2. 80.00,5. 51.00,1. 100.00,2009,lead,MEN
2,3,Amma,Sachi,JPN,327.00,2. 80.00,14. (23.00),6. 47.00,4. 55.00,3. 65.00,2. 80.00,2009,lead,MEN
3,4,Schubert,Jakob,AUT,286.00,3. 65.00,1. 100.00,12. (28.00),7. 43.00,6. 47.00,11. 31.00,2009,lead,MEN
4,5,Julian Puigblanque,Ramón,ESP,258.00,23. (8.00),5. 51.00,8. 40.00,8. 40.00,2. 80.00,6. 47.00,2009,lead,MEN
5,6,Romain,Manuel,FRA,236.00,9. 37.00,8. 40.00,3. 65.00,5. 51.00,12. (28.00),7. 43.00,2009,lead,MEN
6,7,Lama,David,AUT,207.00,10. 34.00,7. 43.00,9. 37.00,12. 28.00,27. (4.00),3. 65.00,2009,lead,MEN
7,8,Tauporn,Thomas,GER,197.00,11. 31.00,4. 55.00,11. 31.00,16. (20.00),8. 40.00,8. 40.00,2009,lead,MEN
8,9,Becan,Klemen,SLO,188.00,5. 51.00,14. 23.00,5. 51.00,6. 47.00,18. 16.00,29. (2.00),2009,lead,MEN
9,10,Supper,Gautier,FRA,173.00,7. 43.00,12. 28.00,7. 43.00,14. 24.00,28. (3.00),9. 35.00,2009,lead,MEN
10,11,Midtboe,Magnus,NOR,168.00,8. 40.00,13. 26.00,,9. 37.00,7. 43.00,15. 22.00,2009,lead,MEN
11,12,Desgranges,Romain,FRA,146.00,14. 24.00,20. 12.00,4. 55.00,,,4. 55.00,2009,lead,MEN
12,12,McColl,Sean,CAN,146.00,,,,3. 65.00,4. 55.00,12. 26.00,2009,lead,MEN
13,14,Son,Sangwon,KOR,118.00,21. 10.00,25. (6.00),15. 22.00,10. 34.00,13. 26.00,12. 26.00,2009,lead,MEN
14,15,Chernikov,Mikhail,RUS,112.00,4. 55.00,10. 34.00,,18. 16.00,24. 7.00,,2009,lead,MEN
15,16,Mrázek,Tomás,CZE,107.00,,3. 65.00,,23. 8.00,9. 34.00,,2009,lead,MEN
16,17,Crespi,Flavio,ITA,100.00,24. (7.00),17. 18.00,13. 26.00,17. 18.00,16. 20.00,17. 18.00,2009,lead,MEN
17,17,Verhoeven,Jorg,NED,100.00,,,,11. 31.00,9. 34.00,9. 35.00,2009,lead,MEN
18,19,Matsushima,Akito,JPN,73.00,13. 26.00,6. 47.00,,,,,2009,lead,MEN
19,20,Watanabe,Kazuma,JPN,63.00,20. 12.00,9. 37.00,,,,19. 14.00,2009,lead,MEN
20,21,Marin Garcia,Eduard,ESP,57.00,29. 2.00,16. 20.00,10. 34.00,,30. 1.00,,2009,lead,MEN
21,22,Hojer,Jan,GER,46.00,,,14. 24.00,15. 22.00,,,2009,lead,MEN
22,22,Lechner,Mario,AUT,46.00,,,,13. 26.00,19. 14.00,25. 6.00,2009,lead,MEN
23,24,Kryukov,Valeriy,UKR,42.00,,,,,9. 34.00,23. 8.00,2009,lead,MEN
24,24,Shoprin,Alexander,RUS,42.00,17. 18.00,19. 14.00,,21. 10.00,,,2009,lead,MEN
25,26,Jubes Angarita,Marco Antonio,ESP,36.00,,,19. 14.00,25. 6.00,20. 12.00,27. 4.00,2009,lead,MEN
26,27,Becan,Jure,SLO,31.00,18. 16.00,23. 8.00,25. 6.00,30. 1.00,,,2009,lead,MEN
27,28,Lopez Mateos,Eric,ESP,30.00,,,,20. 12.00,17. 18.00,,2009,lead,MEN
28,29,Min,Hyunbin,KOR,28.00,12. 28.00,,,,,,2009,lead,MEN
29,30,Nitta,Tatsumi,JPN,27.00,15. 22.00,26. 5.00,,,,,2009,lead,MEN
30,31,Lachat,Cédric,SUI,26.00,,,,,,12. 26.00,2009,lead,MEN
31,32,Ovchinnikov,Evgeny,RUS,24.00,,,,,14. 24.00,,2009,lead,MEN
32,32,Rudigier,Max,AUT,24.00,,21. 10.00,,19. 14.00,,,2009,lead,MEN
33,34,Sova,Matej,SLO,23.00,19. 14.00,22. 9.00,,,,,2009,lead,MEN
34,35,Culver,Aurélien,FRA,22.00,,,,,29. 2.00,16. 20.00,2009,lead,MEN
35,35,Esteller Ocaña,Victor,ESP,22.00,,29. 2.00,16. 20.00,,,,2009,lead,MEN
36,35,Grosso,Cesar,BRA,22.00,,,,,15. 22.00,,2009,lead,MEN
37,35,Guerimand,Flavien,FRA,22.00,,,,,25. 6.00,18. 16.00,2009,lead,MEN
38,39,Bergasse,Remy,FRA,21.00,22. 9.00,,20. 12.00,,,,2009,lead,MEN
39,40,Kaurov,Ivan,RUS,20.00,,,21. 10.00,26. 5.00,,26. 5.00,2009,lead,MEN
40,40,Neumärker,Felix,GER,20.00,16. 20.00,,,,,,2009,lead,MEN
41,42,Kalina,Alexander,RUS,18.00,,,17. 18.00,,,,2009,lead,MEN
42,43,Kim,Jaha,KOR,16.00,,,18. 16.00,,,,2009,lead,MEN
43,43,Stranik,Martin,CZE,16.00,,18. 16.00,,,,,2009,lead,MEN
44,45,Högström,Magnus,SWE,14.00,26. 5.00,,22. 9.00,,,,2009,lead,MEN
45,46,Dugit,Fabien,FRA,12.00,,,,,,20. 12.00,2009,lead,MEN
46,46,Glairon Mondet,Guillaume,FRA,12.00,,,,28. 3.00,22. 9.00,,2009,lead,MEN
47,48,Lopez,Emmanuel,FRA,10.00,,,,,21. 10.00,,2009,lead,MEN
48,48,Poplavskiy,Stanislav,RUS,10.00,,,,,,21. 10.00,2009,lead,MEN
49,48,Söderin,Geir,SWE,10.00,,,23. 8.00,29. 2.00,,,2009,lead,MEN
50,51,Ballet,Thomas,FRA,9.00,,,,,,22. 9.00,2009,lead,MEN
51,51,Mardashov,Anton,UKR,9.00,,,,22. 9.00,,,2009,lead,MEN
52,53,Camargo,Felipe,BRA,8.00,,,28. 3.00,,26. 5.00,,2009,lead,MEN
53,53,Park,Jihwan,KOR,8.00,,,,,23. 8.00,,2009,lead,MEN
54,55,Danker,Stefan,GER,7.00,,,,24. 7.00,,,2009,lead,MEN
55,55,Josseron,Gabriel,FRA,7.00,,,24. 7.00,,,,2009,lead,MEN
56,55,Megos,Alexander,GER,7.00,,,,,,24. 7.00,2009,lead,MEN
57,55,Tsunoda,Hiroki,JPN,7.00,25. 6.00,30. 1.00,,,,,2009,lead,MEN
58,55,Zazulin,Evgenii,RUS,7.00,,24. 7.00,,,,,2009,lead,MEN
59,60,Dzyubyak,Yuriy,UKR,5.00,30. 1.00,,,27. 4.00,,,2009,lead,MEN
60,60,Sommer,Remo,SUI,5.00,,,26. 5.00,,,,2009,lead,MEN
61,62,De Boeck,Jérôme,BEL,4.00,,,27. 4.00,,,,2009,lead,MEN
62,62,De Mattia,Nicola,ITA,4.00,27. 4.00,,,,,,2009,lead,MEN
63,62,Huerta,Mauricio,MEX,4.00,,27. 4.00,,,,,2009,lead,MEN
64,65,Kruder,Jernej,SLO,3.00,28. 3.00,,,,,,2009,lead,MEN
65,65,Savelyev,Konstantin,RUS,3.00,,28. 3.00,,,,,2009,lead,MEN
66,65,Szekely,Gabor,HUN,3.00,,,,,,28. 3.00,2009,lead,MEN
67,68,Jaggi,Martin,SUI,2.00,,,29. 2.00,,,,2009,lead,MEN
68,69,Moroni,Gabriele,ITA,1.00,,,,,,30. 1.00,2009,lead,MEN
69,69,Reuser,Tim,NED,1.00,,,30. 1.00,,,,2009,lead,MEN
70,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,5 (=6-1) best competition results are counting for IFSC Climbing Worldcup 2009. Not counting points are in brackets.,2009,lead,MEN
